id,parameter,value,unit,latitude,longitude,depth,timestamp,source,quality,region
OCEAN_00001,temperature,29.33,°C,-9.1255,71.4655,135.8,2025-09-01T10:57:13.071789,CTD,good,Indian Ocean
OCEAN_00002,temperature,20.74,°C,18.4228,73.4215,39.5,2025-10-15T09:44:44.278307,Satellite,good,Arabian Sea
OCEAN_00003,dissolved_oxygen,34.4,PSU,2.4966,76.7482,83.4,2025-10-16T12:50:25.694748,Satellite,good,Indian Ocean
OCEAN_00004,pH,30.12,PSU,9.4984,76.5257,124.8,2025-09-25T08:22:44.935771,Satellite,good,Indian Ocean
OCEAN_00005,pH,30.81,PSU,10.8731,66.9651,148.9,2025-10-23T00:53:23.223835,CTD,good,Arabian Sea
OCEAN_00006,dissolved_oxygen,32.59,PSU,19.2309,66.799,91.0,2025-09-19T20:01:26.497670,Satellite,good,Arabian Sea
OCEAN_00007,chlorophyll,37.01,PSU,22.3358,64.6821,146.9,2025-09-15T12:26:15.431854,Ship Survey,good,Arabian Sea
OCEAN_00008,dissolved_oxygen,33.58,PSU,-2.0385,77.2226,198.1,2025-07-20T03:04:59.538112,Ship Survey,fair,Indian Ocean
OCEAN_00009,salinity,32.02,PSU,21.9848,87.3852,196.6,2025-11-18T21:54:57.729170,CTD,good,Bay of Bengal
OCEAN_00010,temperature,21.69,°C,-8.3516,86.4693,148.2,2025-08-22T23:46:15.316461,Ship Survey,fair,Indian Ocean
OCEAN_00011,dissolved_oxygen,36.27,PSU,-0.3208,83.2126,36.8,2025-08-10T20:51:26.812714,Buoy,good,Indian Ocean
OCEAN_00012,salinity,31.8,PSU,22.4344,63.8848,2.2,2025-09-10T06:09:53.698606,Buoy,good,Arabian Sea
OCEAN_00013,chlorophyll,32.35,PSU,21.1668,67.2354,187.1,2025-12-04T13:41:01.592663,Ship Survey,good,Arabian Sea
OCEAN_00014,pH,30.55,PSU,16.0206,64.4717,107.5,2025-10-17T21:20:35.347443,CTD,good,Arabian Sea
OCEAN_00015,dissolved_oxygen,33.15,PSU,5.8509,87.4048,89.4,2025-09-21T21:08:55.378699,CTD,good,Bay of Bengal
OCEAN_00016,dissolved_oxygen,35.85,PSU,-5.1204,88.079,153.2,2025-10-27T18:33:47.511238,Satellite,good,Indian Ocean
OCEAN_00017,temperature,31.98,°C,13.6294,70.7623,60.7,2025-06-12T20:29:42.353816,CTD,good,Arabian Sea
OCEAN_00018,temperature,27.42,°C,20.7325,91.672,130.0,2025-08-30T16:31:39.324154,Ship Survey,good,Bay of Bengal
OCEAN_00019,salinity,36.06,PSU,5.3762,90.0562,103.0,2025-09-16T22:40:58.518048,Satellite,good,Bay of Bengal
OCEAN_00020,pH,36.02,PSU,-3.0895,87.7321,56.7,2025-06-09T13:55:45.958240,Ship Survey,good,Indian Ocean
OCEAN_00021,temperature,20.39,°C,16.9,73.4952,122.1,2025-08-28T06:39:39.016299,Buoy,good,Arabian Sea
OCEAN_00022,pH,32.29,PSU,-2.9471,87.3577,129.5,2025-09-13T05:34:02.413531,CTD,good,Indian Ocean
OCEAN_00023,dissolved_oxygen,35.84,PSU,6.0622,87.1658,195.9,2025-08-03T07:11:35.111534,Buoy,good,Indian Ocean
OCEAN_00024,dissolved_oxygen,35.32,PSU,-0.1026,75.8697,8.2,2025-08-12T16:51:45.323624,Satellite,fair,Indian Ocean
